时间点,车牌号,经度,纬度,速度,地址
,,103.663069,36.505882,0,甘肃省兰州市永登县中川镇簸箕湾东北约114米
,,103.663847,36.505495,0,甘肃省兰州市永登县中川镇簸箕湾东北约164米
,,103.664176,36.505381,0,甘肃省兰州市永登县中川镇簸箕湾东北约192米
,,103.664564,36.505317,0,甘肃省兰州市永登县中川镇簸箕湾东北约227米
,,103.664674,36.505309,0,甘肃省兰州市永登县中川镇簸箕湾东北约236米
,,103.665412,36.505301,0,甘肃省兰州市永登县中川镇簸箕湾东北约302米
,,103.666350,36.505326,0,甘肃省兰州市永登县中川镇簸箕湾东北约386米
,,103.666869,36.505335,0,甘肃省兰州市永登县中川镇簸箕湾东北约433米
,,103.667118,36.505309,0,甘肃省兰州市永登县中川镇簸箕湾东北约455米
,,103.667248,36.505251,0,甘肃省兰州市永登县中川镇兰州新区奥特莱斯国际商业广场停车场西南约446米
,,103.667327,36.505152,0,甘肃省兰州市永登县中川镇兰州新区奥特莱斯国际商业广场停车场西南约440米
,,103.667327,36.505082,0,甘肃省兰州市永登县中川镇兰州新区奥特莱斯国际商业广场停车场西南约440米
,,103.667277,36.504180,0,甘肃省兰州市永登县中川镇兰州新区奥特莱斯国际商业广场停车场西南约465米
,,103.667256,36.502699,0,甘肃省兰州市永登县中川镇雄桥新村西北约515米
,,103.667275,36.500618,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约381米
,,103.667324,36.500048,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约351米
,,103.667334,36.499728,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约338米
,,103.667333,36.499058,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约318米
,,103.667333,36.498027,0,甘肃省兰州市永登县中川镇兰州新区消防救援支队东北约293米
,,103.667331,36.496626,0,甘肃省兰州市永登县中川镇兰州新区消防救援支队东北约183米
,,103.667330,36.495125,0,甘肃省兰州市永登县中川镇祥和人家饭庄东北约63米
,,103.667368,36.493614,0,甘肃省兰州市永登县中川镇祥和景苑北门西南约99米
,,103.667367,36.492353,0,甘肃省兰州市永登县中川镇祥和景苑西南约71米
,,103.667367,36.492003,0,甘肃省兰州市永登县中川镇祥和景苑西南约97米
,,103.667297,36.491982,0,甘肃省兰州市永登县中川镇祥和景苑西南约103米
,,103.667277,36.491991,0,甘肃省兰州市永登县中川镇祥和景苑西南约103米
,,103.667277,36.492022,0,甘肃省兰州市永登县中川镇祥和景苑西南约103米
,,103.667327,36.492473,0,甘肃省兰州市永登县中川镇祥和景苑西南约68米
,,103.667328,36.493473,0,甘肃省兰州市永登县中川镇祥和景苑西北约108米
,,103.667349,36.494494,0,甘肃省兰州市永登县中川镇鑫合地暖安装
,,103.667330,36.495545,0,甘肃省兰州市永登县中川镇祥和人家饭庄东北约109米
,,103.667331,36.496796,0,甘肃省兰州市永登县中川镇兰州新区消防救援支队东北约193米
,,103.667333,36.498197,0,甘肃省兰州市永登县中川镇兰州新区消防救援支队东北约309米
,,103.667324,36.499308,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约322米
,,103.667334,36.499948,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约347米
,,103.667274,36.500158,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约353米
,,103.667244,36.500137,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约350米
,,103.667204,36.500096,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约344米
,,103.667194,36.499956,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约336米
,,103.667194,36.498945,0,甘肃省兰州市永登县中川镇峨眉山路加油站东北约304米
,,103.667192,36.497584,0,甘肃省兰州市永登县中川镇兰州新区消防救援支队东北约245米
,,103.667221,36.496224,0,甘肃省兰州市永登县中川镇兰州新区消防救援支队东北约156米
,,103.667250,36.494793,0,甘肃省兰州市永登县中川镇祥和人家饭庄
